                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.74494,                 1.1914,                0.78118,                 1.1194,                0.75609,                0.80234,                0.83379,                0.62516,                0.73663,                0.78599,                0.80331,                0.57347,                0.83489,                 2.1881,                 0.9771,                 1.3711,               0.008416,               0.008416,               0.008416
                     34,                0.74624,                 1.0487,                0.74602,                 1.1111,                0.76788,                0.70073,                 0.7784,                0.59716,                0.75679,                 0.6924,                0.76249,                0.57227,                 0.8695,                 2.2797,                 1.1394,                 1.4732,              0.0083665,              0.0083665,              0.0083665
                     35,                0.71921,                 1.0392,                 0.7366,                 1.1065,                0.73743,                0.68071,                0.73826,                0.56824,                0.71326,                0.70067,                0.71483,                0.51329,                0.84276,                 2.4348,                  1.306,                 1.4101,               0.008317,               0.008317,               0.008317
                     36,                0.76057,                 1.1005,                0.74435,                 1.1217,                0.78974,                0.76783,                0.83144,                0.66046,                0.78974,                0.76783,                0.82902,                0.63825,                0.76739,                  1.959,                0.94127,                 1.2988,              0.0082675,              0.0082675,              0.0082675
                     37,                0.73749,                 1.0276,                  0.702,                 1.1086,                0.72381,                0.83234,                0.85116,                0.67043,                0.71952,                0.81476,                0.83583,                0.64965,                0.75742,                 1.7271,                0.93957,                 1.2977,               0.008218,               0.008218,               0.008218
                     38,                 0.7263,                 1.0012,                0.67372,                 1.0946,                0.79984,                0.83116,                0.84511,                0.64989,                0.77943,                0.81533,                0.83443,                0.62197,                0.80268,                 1.8334,                0.96361,                 1.3223,              0.0081685,              0.0081685,              0.0081685
                     39,                0.72688,                 1.1069,                0.71382,                 1.0923,                0.75191,                0.78872,                0.84152,                0.59158,                0.74232,                0.78049,                0.83033,                0.58877,                0.87705,                  1.805,                 1.0146,                 1.4953,               0.008119,               0.008119,               0.008119
                     40,                0.72594,                 1.0544,                0.72274,                 1.1133,                0.81891,                0.82574,                0.87862,                0.65379,                0.80024,                0.80908,                0.86606,                0.62179,                0.86766,                 2.0054,                0.90568,                 1.4107,              0.0080695,              0.0080695,              0.0080695
                     41,                0.69988,                0.96596,                0.69559,                 1.0853,                0.86818,                0.74725,                0.87724,                0.65583,                0.82627,                 0.7253,                0.84306,                0.62318,                0.82521,                 2.0391,                0.87169,                 1.3778,                0.00802,                0.00802,                0.00802
                     42,                0.69646,                 1.0213,                0.69808,                 1.0785,                0.78696,                0.76015,                0.81734,                0.59954,                0.76304,                0.72573,                0.77778,                 0.5558,                0.89972,                 2.5112,                0.97687,                 1.4831,              0.0079705,              0.0079705,              0.0079705
                     43,                 0.6909,                 1.0456,                0.69233,                   1.09,                0.78137,                0.81488,                0.85929,                0.63724,                0.86255,                0.73978,                0.85912,                0.61079,                0.87747,                 2.0186,                0.87172,                 1.4492,               0.007921,               0.007921,               0.007921
