                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.69262,                0.95912,                0.67602,                 1.1155,                 0.7836,                0.74342,                0.83047,                0.66121,                 0.7759,                 0.7352,                 0.8206,                0.62649,                0.71744,                 2.3123,                0.94825,                 1.3664,              0.0083665,              0.0083665,              0.0083665
                     35,                0.68133,                 1.0157,                0.70773,                 1.1226,                0.87843,                0.71798,                0.87612,                0.70723,                0.79639,                0.78582,                0.86272,                0.67054,                0.71432,                 1.9456,                0.84786,                 1.3307,               0.008317,               0.008317,               0.008317
                     36,                0.70053,                 1.0334,                0.71755,                 1.1272,                0.73786,                0.79466,                0.84202,                0.68702,                0.74617,                0.80296,                0.83603,                0.64303,                0.67159,                 1.9727,                0.95601,                 1.2563,              0.0082675,              0.0082675,              0.0082675
                     37,                0.68307,                 1.0117,                0.67178,                 1.1021,                0.78614,                0.80759,                0.86895,                0.71887,                0.78821,                0.78539,                0.85935,                0.69569,                0.62555,                 1.5754,                0.76376,                 1.1914,               0.008218,               0.008218,               0.008218
                     38,                0.67636,                0.98202,                0.67214,                 1.1006,                0.80313,                0.78021,                0.82964,                0.68191,                0.79462,                0.77188,                0.82104,                0.65088,                0.68471,                 1.6293,                0.83986,                 1.2833,              0.0081685,              0.0081685,              0.0081685
                     39,                0.68761,                 1.0516,                0.68564,                 1.1023,                0.84247,                0.77575,                0.87593,                0.69849,                0.84536,                0.79732,                0.87561,                0.66734,                0.72938,                 1.8542,                0.79828,                 1.2943,               0.008119,               0.008119,               0.008119
                     40,                0.68082,                0.94872,                0.68107,                 1.1001,                0.78793,                0.81685,                0.87757,                0.71859,                0.78793,                0.81685,                0.87618,                0.69135,                0.68198,                 1.7595,                0.77972,                 1.2398,              0.0080695,              0.0080695,              0.0080695
                     41,                0.66367,                0.94963,                0.64936,                 1.0818,                0.84322,                0.79349,                0.87024,                0.70337,                0.80196,                0.81562,                0.87158,                0.67755,                0.70264,                 1.9901,                0.85028,                 1.2872,                0.00802,                0.00802,                0.00802
                     42,                0.67024,                 1.0245,                 0.6576,                 1.0915,                0.83884,                0.79001,                0.85323,                0.68927,                0.85139,                0.80546,                0.85259,                0.66711,                0.69617,                 2.0683,                0.93399,                  1.315,              0.0079705,              0.0079705,              0.0079705
                     43,                0.66872,                  1.022,                0.65946,                 1.0935,                0.82659,                0.77527,                 0.8565,                0.64011,                 0.8269,                0.77563,                0.86077,                0.63181,                0.78779,                  1.905,                0.87523,                 1.4383,               0.007921,               0.007921,               0.007921
                     44,                0.69373,                0.92702,                 0.6427,                 1.1009,                0.80016,                0.81539,                0.88429,                0.72299,                0.80988,                0.82359,                0.87527,                0.69522,                0.68782,                 1.7968,                0.73537,                 1.2621,              0.0078715,              0.0078715,              0.0078715
