                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79995,                 1.2062,                 1.0812,                  1.152,                0.58508,                0.55813,                0.52778,                0.37423,                0.58589,                0.52041,                0.47624,                0.32257,                 0.9598,                 3.0246,                 2.2285,                 1.5657,               0.008317,               0.008317,               0.008317
                     36,                0.79322,                 1.2359,                 1.0644,                  1.145,                0.56436,                0.70971,                0.70122,                0.52761,                0.57417,                0.65953,                0.68441,                0.49815,                0.83244,                 2.3519,                 1.4687,                 1.4033,              0.0082675,              0.0082675,              0.0082675
                     37,                0.75978,                 1.2289,                 1.0346,                 1.1138,                 0.8606,                0.66254,                0.80266,                0.62269,                 0.8606,                0.66254,                0.79095,                0.59497,                 0.8195,                 1.9596,                 1.2566,                 1.3896,               0.008218,               0.008218,               0.008218
                     38,                0.77864,                  1.129,                 1.0082,                 1.1221,                0.76498,                0.70549,                0.80588,                 0.6156,                0.75503,                0.69715,                0.79215,                0.59143,                  0.847,                 2.0274,                 1.2255,                 1.3986,              0.0081685,              0.0081685,              0.0081685
                     39,                0.76905,                 1.2206,                 1.0316,                 1.1117,                 0.8037,                0.70697,                0.82713,                0.58566,                0.78153,                0.69052,                 0.7905,                0.57629,                0.91402,                  1.856,                 1.2926,                 1.4849,               0.008119,               0.008119,               0.008119
                     40,                0.76446,                 1.1027,                0.99763,                 1.1248,                0.69929,                0.74037,                0.78879,                0.57893,                0.68359,                 0.7237,                0.76367,                0.56338,                0.88729,                  1.917,                 1.2923,                 1.4168,              0.0080695,              0.0080695,              0.0080695
                     41,                0.74338,                 1.1318,                0.98656,                 1.1186,                0.76186,                0.66926,                0.78691,                0.57602,                0.74926,                0.66092,                0.77374,                0.52151,                0.89299,                 2.3222,                 1.4454,                 1.4431,                0.00802,                0.00802,                0.00802
                     42,                0.75642,                  1.185,                 1.0224,                 1.1105,                0.69515,                0.73677,                0.77154,                0.57511,                0.68686,                0.74593,                0.76433,                0.53312,                0.85817,                 2.0951,                 1.3713,                 1.4012,              0.0079705,              0.0079705,              0.0079705
                     43,                 0.7504,                 1.2086,                0.98061,                 1.1188,                0.67362,                0.65367,                 0.7245,                0.53866,                0.66785,                0.62804,                0.70271,                0.50835,                0.81147,                  2.037,                 1.4932,                 1.3574,               0.007921,               0.007921,               0.007921
                     44,                0.79095,                 1.1325,                0.97821,                 1.1184,                0.77236,                0.79709,                0.86582,                0.66167,                0.76718,                0.79845,                0.85991,                0.64091,                0.85351,                  1.931,                 1.1154,                 1.3967,              0.0078715,              0.0078715,              0.0078715
                     45,                0.73167,                 1.0696,                0.95214,                  1.103,                0.60204,                0.70532,                0.72919,                0.53004,                0.60924,                0.69735,                0.71355,                0.51926,                0.89116,                 2.0942,                 1.4323,                 1.4591,               0.007822,               0.007822,               0.007822
                     46,                0.76161,                 1.2353,                0.99897,                 1.1172,                0.68841,                0.72272,                0.80706,                 0.6105,                0.68767,                0.70819,                0.79385,                0.57991,                 0.8269,                 2.0145,                 1.2715,                 1.4118,              0.0077725,              0.0077725,              0.0077725
                     47,                0.74492,                 1.0909,                0.97434,                 1.1117,                0.68596,                0.71725,                0.76438,                 0.5806,                0.67933,                0.70027,                0.75548,                 0.5587,                0.85334,                 2.0993,                 1.3262,                 1.4236,               0.007723,               0.007723,               0.007723
                     48,                0.74449,                 1.1383,                0.98027,                 1.1066,                0.76764,                0.74279,                0.79751,                0.58715,                0.74183,                0.70928,                0.75429,                0.55349,                0.83604,                 1.8959,                  1.253,                  1.421,              0.0076735,              0.0076735,              0.0076735
                     49,                0.76542,                  1.105,                0.93964,                 1.1196,                0.69116,                0.78707,                 0.8171,                0.60403,                0.68884,                0.75458,                0.81372,                0.58147,                0.83586,                 1.7837,                 1.1378,                  1.387,               0.007624,               0.007624,               0.007624
                     50,                0.73503,                 1.1035,                0.93584,                 1.1094,                0.63048,                0.75819,                0.77718,                0.58293,                0.60582,                0.73558,                0.73876,                 0.5423,                0.82938,                 2.1332,                 1.3221,                 1.3879,              0.0075745,              0.0075745,              0.0075745
                     51,                0.74638,                 1.1242,                0.94678,                  1.103,                0.76329,                 0.8021,                  0.848,                0.63322,                0.74448,                0.78574,                0.82202,                0.60318,                0.79226,                 1.8285,                 1.0541,                 1.3155,               0.007525,               0.007525,               0.007525
                     52,                0.73931,                 1.1299,                0.87933,                 1.1079,                0.72522,                0.88291,                0.87506,                0.65357,                0.83913,                0.68209,                 0.8317,                0.61731,                0.80431,                  1.933,                0.99902,                 1.3468,              0.0074755,              0.0074755,              0.0074755
                     53,                0.75329,                 1.0974,                 0.8871,                 1.1028,                0.80403,                0.69161,                0.79156,                0.61313,                0.79865,                0.68176,                 0.7771,                0.60268,                0.79548,                 1.7449,                 1.1901,                 1.3493,               0.007426,               0.007426,               0.007426
                     54,                0.75857,                 1.0826,                0.92316,                 1.1106,                0.83547,                0.75183,                0.87029,                 0.6791,                0.82639,                0.74284,                0.83508,                0.65842,                0.75693,                 1.7507,                 1.0758,                 1.2826,              0.0073765,              0.0073765,              0.0073765
                     55,                0.75966,                 1.0669,                0.90306,                 1.1146,                0.79351,                0.75959,                 0.8347,                0.64979,                0.78489,                0.75135,                0.82011,                0.62826,                0.78654,                 1.7344,                 1.2011,                 1.3137,               0.007327,               0.007327,               0.007327
                     56,                0.71317,                 1.0363,                 0.8676,                 1.0951,                0.76353,                0.79316,                0.83272,                0.64754,                0.74908,                 0.7763,                0.81586,                0.62833,                0.77256,                  1.848,                 1.1504,                 1.3547,              0.0072775,              0.0072775,              0.0072775
                     57,                0.71665,                  1.063,                0.86687,                 1.0916,                 0.6464,                0.66568,                0.72208,                0.55862,                0.64091,                0.65746,                0.71515,                0.54169,                0.79708,                 1.8751,                 1.5325,                  1.351,               0.007228,               0.007228,               0.007228
                     58,                0.70732,                0.99229,                0.84259,                 1.0766,                0.73953,                0.78164,                0.81765,                0.62918,                 0.7495,                0.78997,                0.82586,                0.61264,                0.83819,                 2.0346,                 1.1854,                 1.3866,              0.0071785,              0.0071785,              0.0071785
                     59,                0.71389,                 1.0514,                0.80371,                  1.081,                0.79828,                0.70649,                0.81792,                0.60703,                0.77658,                0.68982,                0.78062,                0.58406,                0.84708,                 2.0144,                 1.2201,                 1.3883,               0.007129,               0.007129,               0.007129
                     60,                 0.7255,                 1.0648,                0.84333,                 1.0843,                 0.7801,                0.64795,                0.71238,                0.53431,                 0.7801,                0.64795,                0.69633,                0.52758,                 0.8769,                 2.2126,                 1.6249,                 1.4401,              0.0070795,              0.0070795,              0.0070795
                     61,                0.73776,                 1.0517,                0.86558,                 1.1074,                0.68837,                0.70648,                 0.7397,                0.55707,                0.69357,                0.71485,                0.74255,                0.53641,                  0.831,                 1.7692,                 1.3506,                 1.4006,                0.00703,                0.00703,                0.00703
                     62,                0.71161,                 1.0028,                0.81433,                  1.091,                0.81924,                0.82404,                0.88632,                0.68307,                0.81476,                0.82475,                0.88573,                0.65656,                0.77867,                 1.5887,                 0.9941,                 1.3161,              0.0069805,              0.0069805,              0.0069805
                     63,                0.71091,                0.95651,                0.80306,                  1.071,                0.81572,                0.78439,                 0.8599,                0.67252,                0.81572,                0.78439,                0.84755,                0.64915,                 0.7679,                 1.5754,                 1.0518,                 1.2846,               0.006931,               0.006931,               0.006931
                     64,                0.71383,                0.99504,                0.83016,                 1.0837,                0.82199,                0.77475,                0.84514,                0.66888,                0.81318,                0.75943,                0.82596,                0.64037,                0.75633,                 1.6794,                 1.0611,                 1.2891,              0.0068815,              0.0068815,              0.0068815
                     65,                0.69584,                 1.0174,                  0.792,                 1.0825,                0.79221,                 0.7351,                0.85448,                0.67126,                0.79459,                0.73219,                 0.8445,                0.65146,                0.76621,                 1.5954,                 1.0274,                 1.2969,               0.006832,               0.006832,               0.006832
                     66,                0.68408,                 1.0314,                0.81717,                 1.0783,                0.81979,                0.76294,                0.85912,                0.67802,                0.80044,                0.74627,                0.83708,                0.64252,                0.72583,                 1.6638,                 1.0242,                  1.261,              0.0067825,              0.0067825,              0.0067825
                     67,                0.68635,                 1.0815,                0.83859,                 1.0838,                0.71797,                0.73573,                0.78851,                0.61997,                0.71601,                0.71656,                0.76972,                0.59415,                0.72299,                 1.8507,                 1.1638,                 1.2601,               0.006733,               0.006733,               0.006733
                     68,                0.68678,                0.96899,                0.79303,                 1.0666,                0.70844,                0.81265,                0.81949,                0.64648,                0.68233,                0.78734,                0.79016,                0.60942,                0.73032,                 2.0061,                 1.0671,                  1.239,              0.0066835,              0.0066835,              0.0066835
                     69,                0.68108,                 1.0051,                0.74924,                 1.0712,                0.76086,                0.82028,                0.84929,                0.64584,                0.81429,                  0.753,                0.82782,                 0.6205,                0.81045,                 2.0712,                 1.0695,                 1.3065,               0.006634,               0.006634,               0.006634
                     70,                0.68828,                 1.0433,                0.78426,                 1.0777,                0.82767,                 0.7807,                0.84599,                0.65045,                0.83823,                0.78886,                0.84794,                0.64038,                0.83489,                 1.9313,                 1.0334,                 1.3739,              0.0065845,              0.0065845,              0.0065845
                     71,                0.69791,                 1.0087,                0.75942,                 1.0752,                0.81144,                0.84993,                0.87712,                 0.6524,                0.80048,                0.82112,                0.84169,                 0.6328,                0.82752,                 2.0978,                0.94731,                 1.3727,               0.006535,               0.006535,               0.006535
                     72,                0.70106,                 1.0479,                0.78539,                 1.0788,                0.83459,                0.85236,                0.89011,                0.66243,                 0.8177,                 0.8364,                 0.8703,                0.63563,                0.82095,                 2.0998,                0.97018,                 1.3721,              0.0064855,              0.0064855,              0.0064855
                     73,                0.69342,                0.91245,                 0.7453,                 1.0672,                0.82165,                0.80113,                0.87727,                0.67589,                0.81206,                 0.7928,                0.85389,                0.65602,                0.75463,                  1.809,                0.97051,                 1.2493,               0.006436,               0.006436,               0.006436
                     74,                0.70431,                0.97471,                0.76738,                 1.0655,                0.79642,                0.68422,                0.81246,                0.63866,                0.77879,                0.66624,                0.78978,                0.61221,                0.79559,                 1.8075,                 1.0674,                 1.3018,              0.0063865,              0.0063865,              0.0063865
                     75,                0.67589,                0.96277,                0.75464,                 1.0562,                0.77284,                0.77097,                0.83107,                0.65071,                0.74499,                0.74647,                  0.807,                 0.6173,                0.76029,                 1.8804,                  1.067,                 1.2569,               0.006337,               0.006337,               0.006337
                     76,                0.67012,                0.95405,                0.72821,                 1.0595,                0.82228,                0.80646,                0.88698,                0.66589,                 0.7897,                0.79292,                 0.8584,                0.61316,                0.82014,                 1.8831,                 1.0263,                 1.3494,              0.0062875,              0.0062875,              0.0062875
                     77,                0.67881,                0.91742,                0.74529,                 1.0641,                 0.8267,                0.75149,                0.84907,                0.64813,                0.77358,                0.77974,                0.85192,                 0.6091,                0.81335,                 1.7817,                 1.0549,                 1.3792,               0.006238,               0.006238,               0.006238
                     78,                0.70843,                0.95252,                0.76134,                 1.0793,                0.83313,                 0.8243,                0.89651,                0.69436,                0.84069,                0.83299,                0.89841,                0.65816,                0.79173,                 1.7276,                0.83593,                 1.3639,              0.0061885,              0.0061885,              0.0061885
                     79,                0.69077,                0.98867,                 0.7395,                 1.0961,                0.84429,                0.82095,                 0.9044,                0.68911,                0.82987,                0.80428,                0.88762,                0.65934,                0.77775,                 1.7401,                0.80734,                 1.3177,               0.006139,               0.006139,               0.006139
                     80,                0.63205,                0.93443,                0.69199,                  1.044,                0.87035,                0.77602,                0.87016,                0.67521,                0.85325,                0.75875,                0.84981,                0.63682,                0.82697,                 1.9128,                0.87284,                 1.3843,              0.0060895,              0.0060895,              0.0060895
                     81,                0.68448,                0.94975,                0.71844,                 1.0747,                0.87318,                0.73098,                0.85719,                0.64053,                0.85154,                 0.7146,                0.80434,                0.59842,                0.83851,                 2.2159,                0.95588,                 1.4073,                0.00604,                0.00604,                0.00604
                     82,                0.66874,                0.94474,                0.70482,                 1.0648,                0.74784,                0.80164,                 0.8413,                0.66055,                0.73179,                0.78478,                0.81683,                0.63735,                0.79829,                 1.7964,                   1.06,                  1.357,              0.0059905,              0.0059905,              0.0059905
                     83,                0.66387,                0.94399,                0.71752,                 1.0542,                0.86731,                 0.8715,                0.91392,                0.71379,                0.85873,                0.86324,                0.89866,                0.68886,                0.77233,                 1.6967,                0.81225,                 1.3127,               0.005941,               0.005941,               0.005941
                     84,                0.65613,                0.92385,                0.69074,                 1.0556,                0.84032,                0.82917,                 0.9115,                0.72106,                0.83526,                0.81362,                0.89615,                 0.6969,                0.74133,                 1.9538,                0.85575,                 1.2937,              0.0058915,              0.0058915,              0.0058915
                     85,                0.67152,                0.93482,                0.69778,                 1.0637,                0.89384,                0.85652,                0.91497,                0.71323,                 0.8617,                 0.8395,                0.89321,                0.68498,                0.75997,                    1.8,                0.79861,                 1.3325,               0.005842,               0.005842,               0.005842
                     86,                0.64945,                 0.9198,                 0.7016,                 1.0488,                 0.8478,                0.82364,                0.91241,                0.69343,                 0.8339,                0.80722,                0.89466,                0.68546,                0.79867,                 1.6989,                0.85158,                 1.3478,              0.0057925,              0.0057925,              0.0057925
